review_text,review_rating
Flat white tastes bad 👎🏼👎🏼👎🏼,1
Nice coffee and nice place,5
Best place ever,5
To crowded I found it not comfortable.,3
Great cappuccino,4
nice experience,4
Loved it..,5
Good,4
Nice,5
🤢,1
Staff was very rude and unprofessional,1
👌,5
Worst coffee!!,1
Trash cafe,1
Not As expected at All,2
"It looks cools, the coffee is fair enough",3
Good,4
Nice,3
Not that great,1
Wow,5
It's okay,3
Good,5
Excellent food,5
Nice Coffee,5
Nice,4
👌🏻,5
👍🏾😍,5
👍👍👍,5
💕💕,5
👍🏻👍🏻👍🏻,4
😍😍,5
"(Translated by Google) O no
The songs are very loud
The place feels like it is meant for women only
The men’s entrance is prohibited from entering the store’s airspace. The barriers on the second side are surrounded by intoxicating trees. The corridor is from us and from us so that you do not enter the second section.
Ok, I want the bathroom, as long as you can
In general, I entered the shop, my father, the bathroom was closed to the men, but I told the cashier that it is necessary, my father said the toilet. He said no, cameras are not allowed, and from this I said OK, a little while. One of the men came in front of me (for women) I said this is the entry. He said no, this is my brother 😂😂!!! !

Let's go to the important thing is the drinks

They all taste the same, they are all milk, there is no deliciousness in the drink

I mean the difference between the drinks is only color

The mojito is all ships

Lover and connoisseur of restaurants: Q_7son

(Original)
اولاً
صوت الاغاني عالي جداً
المكان تحس يتقصد النساء فقط
مدخل الرجال ممنوع من دخول جوا المحل حاط حواجز الجهه الثانيه وحاط شجر مسكر الممر منا ومنا عشان ماتدخل قسم الثاني
طيب ابي دورة المياه ماتقدر
على العموم دخلت المحل ابي دورة المياه مقفلين حق الرجال بس ، قلت للكاشير ضروري ابي دورة المياه قال لا ممنوع وكاميرات ومن ذا الكلام قلت تمام شوي دخل قدامي واحد رجال ( في حقت النساء ) قلت هذا هو دخل قال لا هذا خويي 😂😂 !!!!

نجي للمهم الي هو المشروبات

كلها نفس الطعم كلها حليب مافيه اي تلذذ فالمشروب

يعني الفرق بين المشروبات لون بس

الموهيتو كله سفن

محب ومتذوق للمطاعم : Q_7son",1
"(Translated by Google) Winter's gift
Hot Chocolate 🍫☕️

And when the Overdose is delicious 🤩😩❄️💙💙💙

weighted 👌

And the taste of the cream is a fantasy and is light and does not help 🤣🤩

Even hot chocolate without cream was delicious and had a slight bitterness, but it was sweet 💕😍

If you have not tried hot chocolate, they are right!!

My advice, my advice, don't go around you

Their branch next to Voco Hotel has drive-thru 🚗

(May God’s peace and blessings be upon our Prophet Muhammad and his family and companions all)

(Original)
هبّة الشتاء❄️😅
الهوت تشوكلييت 🍫☕️

وعند Overdose لذييييذ 🤩😩❄️💙💙💙

موزون👌

وطعم الكريمة خيال وخفيفة ما تغث 🤣🤩

وحتى الهوت تشوكليت / بدون كريمة برضو كان لذيذ وفيه مرارة خفيفة بس حلوه💕😍

لو ما سبق وجربتوا الهوت تشوكليت حقهم !!

نصييييحه نصييححه لا يطوفكم😍

فرعهم اللي بجنب فندق ڤوكو فيه درايڤ ثرو 🚗

(اللهم صلِّ وسلم على نبينا محمد وعلى آله وصحبه آجمعين🌱)",4
"(Translated by Google) The place is nice. Indoor and outdoor seating. I recommend the saffron cake. It is very delicious.. Service yourself.. Prices are good

(Original)
المكان حلو جلسات داخلية وخارجية انصح بكيكة الزعفران كثير لذيذة .. الخدمة بنفسك .. الاسعار حلوه",5
"(Translated by Google) The drink is delicious and currently worth a try 🤩

(Original)
المشروب لذيذ ومب حالي يستحق التجربة 🤩",5
"(Translated by Google) Over Dose Love Mojito Lemon Fresh 🤤

(Original)
اوفر دوز الحب موهيتو الليمون منعش بشكل🤤",5
"(Translated by Google) I always praise you and love your coffee, but this time, I'm sorry, you embarrassed me, even with those I bent and look awkward.
I don't know how to find it from the employee. His dealings with customers are never nice, may God protect him..
Nor bad coffee!!
Coffee is not coffee, God
It's all milk and without sugar, asking for a Spanish latte, as if it were a latte
I wish I was asking for one! Can I say that it is wrong to drink or not, but it is not reasonable to ask for 7?????
And he did not give me an invoice, okay, the branch is empty, but also!!
I usually serve you honey honey 💔💔
In King Fahd Branch

(Original)
دااااايم امدحكم واحب قهوتكم بس هالمره اسفه احرجتوني حتى مع اللي عازمتهم وشكلها اخخخخخر مره اجي
مادري الاقيها من الموظف تعامله مع الزباين مو لطيف ابدا الله يستر عليه..
ولا من القهوه المخيسه!!
القهوه مو قهوه والله
كلها حليب وبدون سكر طالبه سبانش لاتيه كانه لاتيه
وياليت اني طالبه واحد! ممكن اقول انه غلط بالهمشروب او ماحط بس مو معقوله مرهه طالبه 7 ؟؟؟؟؟
ولا عطاني فاتوره اوكيه الفرع فاضي بس برضو!!
العاده خدمتكم عسل عسسسل 💔💔
""بفرع الملك فهد""",1
"(Translated by Google) The place is beautiful and the coffee is delicious. I tried the Nutella cake, it was delicious and delicious 😍👌🏼

(Original)
المكان جميل والقهوه لذيذه جربت الكيكه النوتيلا لذيذه لذيذه 😍👌🏼",5
"(Translated by Google) The rings are normal, the prices are two high
Annoying the place, frankly, the songs are very loud
Their drinks, on demand, are sweet. I asked them to reduce the syrup for me and reduce it in Spanish, and the double coffee was delicious.
Flat white also has a good size and price
I tried sweets
The workers are good, especially the one who takes orders, the brown girl, I liked to deal with her 💕

(Original)
الحلسات عاديه الاسعار حبيتين مرتفعه
مزعج المكان بصراحه الاغاني جداً عاليه
مشروباتهم ع الطلب حلوه  طلبتهم يخففون لي السيرب وخففوه في سبانش ودبلت القهوه طعيمه
فلات وايت برضو راهي حجمه وسعره كويس
ماجربت الحلا
العاملين كويسين وخاصه الي تاخذ الطلبات البنت السمراء حبيت تعاملها 💕",3
"(Translated by Google) Good evening,,,
The problem is as follows:
I came to the place and talked to the security by taking a table, and he said that it was reserved, and I went to another cafe and I did not like it, so I wanted to come back again after about 15 minutes, and the security was talked again about the same table because it is the only one available, and he said that it is reserved, and I was entered inside the cafe and a conversation The official said that we do not have a reservation policy, and I told him that security blocked a table for a person for more than 15 minutes, and they talked to each other, and the security stated that the customer had finished the first drink; He asked for another drink but went to the bathroom!!! He will be back shortly.
* Hana explains to me:
That there is a contradiction between (the policy of the place and the official and the security employee).
* The customer must be respected and the present taking into account the cafe first, and then the customer who will attend.
*  the visit:
- today is Monday.
- Date: 11-15-2021
Time: 09:45pm

(Original)
مساء الخير،،،
المشكلة كالتالي:
تم حضوري للمكان ومحادثة الامن باخذ طاوله، وافاد بانها محجوزة، وتم ذهابي لكافي اخر ولم يعجبني، فرغبت بالرجوع مره اخرى بعد مايقارب ١٥ دقيقه، وتم محادثة الامن مرى اخرى عن نفس الطاوله لانها هي الوحيده المتاحه، وافاد بانها محجوزه، وتم دخولي داخل الكافي ومادثة المسؤول وافا بانه لا يوجد لدينا سياسة الحجز، وافدته بان الامن حاجز طاولة لشخص لاكثر من ١٥ دقيقه، وتم محادثتهم لبعض، وافاد الامن بان العميل انتهى من المشروب الاول؛ وطلب مشروب اخر ولكنه ذهب الى دورة المياة!!! وسوف يعود بعد قليل.
* هناء يتضح لي :
بانه يوجد تناقض بين ( سياسة المكان والمسؤول وموظف الامن).
* يجب احترام العميل ومراعات الحاضر للكافي اولاً وبعد ذلك العميل الذي سوف يحضر.
*  الزيارة:
- اليوم : الاثنين.
- التاريخ : 15-11-2021
الوقت : 09:45pm",1
"(Translated by Google) Overdose the People's Café, according to what my husband said, hehehe opened his administrative branch, how much, God willing, at the university, the plaza is wonderful as usual...

(Original)
اوفر دز مقهى الشعب على قوله زوجي ههههه افتتح فرعه المدري كم ماشاء الله في الجامعة بلازا روعه كالعادة ...",4
"(Translated by Google) The cafe is comfortable 👌🏻 and nice and tidy decor, a small place for two or three people's sessions
My order was Pistachio latte 6/10
Saffron cake 5/10
Mango Ice Cream 7/10

(Original)
الكافيه مريح 👌🏻وديكور جميل ومرتب مكان صغير لجلسات شخصين او ثلاثة اشخاص
طلبي كان بستاشيو لاتيه 6/10
كيكة زعفران 5/10
ايسكريم مانجو 7/10",3
"(Translated by Google) My first visit to the coffee..
The kofi is awesome, elegant and very comfortable in terms of colors and location, and fortunately for me it was very empty because it is morning 🌚✨.

- It has music.

(Original)
أول زيارة لي للكوفي ..
الكوفي رهيب ورايق ومُريح جداً من ناحية الألوان والمكان، ومن حُسن حظي كان فاضي جداً لانه وقت صباح 🌚✨.

- فيه موسيقى.",5
"(Translated by Google) The place for the secretariat is clean and the first time I come and their coffee is sweet in a natural way and the best way is to treat the cashier Muhammad to you. I congratulate you for the good hospitality, but there is something in my mind a lot. The secretary treats me frankly. There is no style or manners. Men say I am humiliated. You don’t like coffee. Trust in God. On the subject of tables, tell me, I organize in my own way, and I see people in my way. If you do not like something, trust God. Is this a method that a person can accept? Or are you enough to be satisfied that the secretary treats you like this? How do you want customers to come to you and when I am drunk like this, it is wrong. Sitting happens a lot. If someone else was quarreling with him and causing problems, but I congratulate the cashier for his approach and his acceptance of the situation and the solution of the problem. Thank you, Muhammad, for your elegant style. I hope you find a solution with the secretary. Your right and peace be upon you.

(Original)
المكان للامانه رايق و اول مره اجيه و قهوتهم حلوه بشكل مى طبيعي  و الاحلى تعامل الكاشير محمد لك اهنيه على حسن الاستضافه لاكن فيه شيء حاز بخاطري كثير تعامل السكرتي لي صراحه لا اسلوب ولا اخلاق رجال يقولي اذل مو عاجبتك القهوه توكل على الله جيت اتناقش معاه بس عن موضوع الطاولات يقولي انا انظم بكيفي و اطلع ناس بكيفي اذا مو عاجبك شيء توكل على الله هذا اسلوب ممكن الشخص يتقبله ؟ او انت ك كافي ترضى يكون تعامل السكرتي حقك كذا ؟ كيف تبي الزباين يجونك وعند سكرتي مثل هذي الاشكال غلط اللي جالس يصير كثير ولو واحد ثاني كان تهاوش معاه و سبب مشاكل بس اهني الكاشير على اسلوبه و تقبله للوضع و حل المشكله شكراً يا محمد على اسلوبك الرايق و اتمنى تشوفون حل مع السكرتي حقكم و سلام عليكم",5
"(Translated by Google) I tried the Nutella cake, it's delicious

(Original)
جربت كيكه النوتيلا لذيذه مرررره",5
"(Translated by Google) One of the most beautiful cafés I have ever seen in my life is Salted Caramel latte, something to be honest it tastes delicious and they have a very excellent service that I have never seen, in the previous cafés you buy 7 cups and take a cup for free 🥺♥️♥️.

(Original)
من اجمل المقاهي اللي شفتها ف حياتي سولتد كراميل لاتيه شيء للامانه طعم لذيذ وغير عندهم خدمة جداً ممتازه ماقد شاهدتها ف المقاهي السابقة تشتري ٧ اكواب تاخذ كوب مجاناً 🥺♥️♥️.",5
"(Translated by Google) The café is very nice. It has outdoor seating. I tried their coffee and saffron cake. Flat white is beautiful and delicious. I recommend visiting it

(Original)
الكافي جميل جدا فيه جلسات خارجيه جربت عندهم قهوه فلفلت وكيكه الزعفران فلات وايت جميل ولذيذ انصح في زيارته",5
"(Translated by Google) Spanish latte, caramel latte, beautiful blue and black mojita, good rose latte, very nostalgic, the saffron cake is good, the problem is that the sessions are close, and the cleaning of the tables is of no interest.

(Original)
السبانش لاتيه ، كراميل لاتيه ، موهيتا توت ازرق واسود جميله،روز لاتيه جيد، الحنيني جدا رائع كيكة الزعفران جيده، مشكلته الجلسات متقاربه والتنظيف للطاولات مافيه اهتمام.",3
"(Translated by Google) What is this, Overdose? Hanini asked Janie for a cup of coffee. And nostalgia is very bad. My advice to you, separate the one who got the idea of ​​nostalgia with you

(Original)
ايش هذا يا اوفر دوز؟ طلبت حنيني جاني في كوب قهوه. و الحنين سي جدا جدا. نصيحه لكم افصلو الي جاب فكره الحنين عندكم",1
"(Translated by Google) A beautiful cafe, it is flawed by the musical noise. If the sound is a little quieter, the atmosphere is better, because the one who is frank, when he comes, remains silent. You will not hear the sound of those with you from the noise, or everything else.
*🥤The drinks I tried are delicious
Delicious Americano Café
latte 😻
Salted caramel and mojito 👍😋
Delicious ice cream🍦🍦

As for خدمةservice and barista
They go fast and catch my eye with their smile, Masha Allah
Despite the large number of cafe-goers

(Original)
كافيه جميل يعيبه الصخب الموسيقي لو ان الصوت اهدى شوي ممكن الجو احلى لانه الواحد صراحه لما يجي يلتزم الصمت ماتسمع صوت اللي معك من الصخب والا كل
*🥤المشروبات اللي جربتها لذيذه
أمريكانو كافيه لذيذ
لاتيه😻
سولتد كراميل و موهيتو 👍😋
الايسكريم لذييييذ🍦🍦

اما عن 👥الخدمة والباريستا
يهبلون سريعين ولفت انتباهي ابتسامتهم ماشاء الله
بالرغم من كثرة رواد الكافيه",5
"(Translated by Google) The place is very beautiful.
It has outdoor and indoor sessions that bring together young people and families.
The decor is wonderful.
Drink: Spanish latte, delicious 10/10
Prices are exaggerated.
Somewhat crowded.
Unfortunately, the workers have morals.

(Original)
المكان جميل جداً.
وفيه جلسات خارجيّة وداخل يجمع بين الشباب والعوائل.
الديكور روعة.
المشروب : سبانيش لاتية ، لذيذ ١٠/١٠
الأسعار مُبالغ فيها.
مُزدحم نوعاً ما.
العاملين أخلاقهُم للأسف 👎🏻.",5
"(Translated by Google) Excellent, frankly, no mistake, delicious and very cold, and their drinks are very special... Whoever loves it gives like

(Original)
ممتاز بكل صراحة ولا غلطة ولذيذ وبارد جدا ومشروباتهم مميزه  جدا …اللي يحبه يعطي لايك",5
"(Translated by Google) Beautiful and elegant cafe and the decor is easy on the eye
Service staff is excellent 👌🏽
This is my second visit to the cafe, the coffee taste is clear and beautiful

(Original)
مقهى جميل ورايق والديكور مريح للعين ببساطته
طاقم الخدمه ممتازين 👌🏽
هذي ثاني زياره لي للمقهى ، طعم القهوه واضح وجميل",5
"(Translated by Google) I came to them on Eid al-Fitr and I was about to sit down and have a coffee and I was coming before it and took a cup of coffee and every two times and between them their air-conditioner was ruined, meaning the coffee is sweet and the staff are hardworking and it is clear that even they are resentful to whom I asked them why. Shatha torment Zaloni frankly

(Original)
جيتهم عيد الفطر وكنت ناويه اجلس اتقهوى وكنت جايه قبلها وماخذه قهوه توقو وكل المرتين ومابينهما مكيفهم خربان يعني القهوه حلوه والموظفين مجتهدين وواضح انهم حتى هم حرانين لمن سألتهم ليه قالو كلمي المسؤول كلمته قام يهز كتوفه يقول بنصلحه !🤷🏻 طيب طلبت قهوه حاره اشربها في الحر شذا العذاب زعلوني صراحه",4
"(Translated by Google) The coffee is sweet, the donuts are delicious, the cookies are sweet, but the songs are so loud that I can’t hear my side, and I told him more than once that they fall short, and unfortunately there is no answer.

(Original)
الكوفي حلو والحلا الدونت لذيذه والكوكيز حلو بس الاغاني مررره عاليه لدرجه مااسمع الي جنبي مااقدر اسولف وقلتله اكثر من مره يقصرون وللاسف مافي اجابه",3
"(Translated by Google) Tried the mango ice cream

Frozen mango taste, no difference to the price

The decor is beautiful
The place is small

Hot drink after 7 cups a free cup

(Original)
جربت ايسكريم المانجو عادي

طعم مانجو مجمده مافيه تميز على السعر

الديكور جميل
المكان صغير

المشروب الحار بعد ٧اكواب كوب مجاني",3
"(Translated by Google) I went to the new branch (Al-Najah Square) in Al-Rimal, I took a delicious cappuccino and Americano, and the place is very elegant.

(Original)
رحت لفرع الجديد  (النجاح سكوير )في الرمال اخذت كابتشينو وامريكانو لذيييذه والمكان رايق جدا",5
"(Translated by Google) I don't know for whom you have lost the reputation, you are no longer concerned with the customer, and how is it that I ask for Ice Spanish and pay an amount and its value, for the latter is as if I was drinking cold milk, ok, why?!!!! Bad experience, first of all. Good. Now, if it's real, I don't drink it...., for the information I don't comment on Google Maps except rarely, frankly, we must comment.. because the amount of praise is the opposite of what I see (drumming).

(Original)
مادري لمن خذيتوا السمعة ماعاد همكم العميل ولاكيف لدرجة اطلب ايس سبانيش وادفع مبلغ وقدره فالاخير كانّي اشرب حليب بارد طيب ليه ؟!!!! تجربة سيئة اول جيته كويس الحين لو بريال ماشربه ....، للمعلومية انا ما اعلق ف قوقل ماب الا نادر فالصراحة لازم نعلق .. لان كمية المدح عكس اللي اشوفه (تطبيل) .",1
"(Translated by Google) Very beautiful, but if you put branches in the west of Riyadh, because frankly, it is too far, but it is worth the soul because of it 💞💞

(Original)
جميل جدا بس لو تحطون فروع  بغرب الرياض لانو الصراحه مرره بعيد بس يستاهل الروحه عشانه💞💞",5
"(Translated by Google) Regardless of demand and location

Some employees are not very good

When I inquired about the toilet, one of them answered, apparently from Kazakhstan, about the lack of a toilet, and it was already there for both sexes.

Some ideas and diseases should be extracted from the thoughts of some supervisors

(Original)
بغض النظر عن الطلب والمكان

تعامل بعض الموظفين بشكل غير جيّد تماماً

عندما استفسرت عن دورة المياة اجاب احدهم ويبدوا انه من كازاخستان عن عدم توفر دورة المياة وهي كانت موجودة بالفعل للجنسين وعندما اوضحت له عن وجودها قال لي معليش الادارة تقول لا تدخل شباب لدورة المياة بس بنات 🙂🙂

بعض الافكار والامراض يجب ان تستخلص من فكر بعض المشرفين",1
"(Translated by Google) Unfortunately, yesterday I was with them and I loved their coffee and they sat, but there was music and songs in it, and the employee was advised to inform the management, and the employee was very nice (Anas bin Malik branch)

(Original)
للاسف امس كنت عندهم وانا احب قهوتهم وجلستهم ولكن صار فيه موسيقى واغاني ،وتم التنيه عن طريق الموظفه لابلاغ الاداره،والموظفه كانت لطيفه جدا (فرع انس بن مالك)",2
"(Translated by Google) Excellent cafe and excellent deal of staff and their coffee is special and the variety of items they have is very good.
I frankly loved him, especially when he is on The Walk University Avenue. T1 👍🏻

(Original)
مقهى ممتاز و تعامل ممتاز من الموظفين و القهوة عندهم مميزة و تنوع الأصناف لديهم جيد جداً.
حبيته صراحة و خصوصاً انه في ذا ووك جادة الجامعة. T1 👍🏻",4
"(Translated by Google) The decor is beautifull 💜💜✨
Thank you to the marketing team, who are interested in the details
They have the offer of the International Day of Coffee, take your drink and the second will bring you a brial,, Filipino I like to prepare all kinds of cold coffee so that there is no crowding,, I like shortcuts

(Original)
الديكور جمييللل💜💜✨
اشكر فريق التسويق مهتم بإذن التفاصيل
عندهم عرض اليوم العالمي للقهوه خذ مشروبك والثاني يجيك بريال ،، الفلبيني يعجبني ان جهز كل انواع القهوه البارده عشان ماتصير فيه زحمه ،، احب الاختصارات",5
"(Translated by Google) Creative people, God willing + their celebration of the National Day is awesome + the employee who came in the morning is cute and nice, and everything is special for her. She deserves a promotion, if it wasn't for modesty.

(Original)
مبدعين مشاء الله + احتفالهم ليوم الوطني رهيب  + الموظفة اللي الصباح كيوت ولطيفة وكل شيء شششكر خاااص لها تستاهل ترقيه لولا الحياء كان قلتلها صيري صاحبتي من كثر لطافتها😂♥️♥️♥️♥️♥️'",5
"(Translated by Google) A very special coffee.. Worth a try.. Simple and luxurious decor.. Elegant place.. Their coffee is special.. Very elegant treatment.. Speed ​​in orders..

(Original)
كوفي مميز جداً.. يستحق التجربة.. ديكور بسيط و فخم.. مكان رايق.. قهوتهم بأنواعها مميزة.. تعامل راقي جداً.. سرعة في الطلبات..",4
"(Translated by Google) Overdose coffee ☕️🍫🍰 A wonderful top and a beautiful atmosphere 💜💜💜💜💜💜🤠👌 Romantic and delicious taste 😋 and reasonable price and also they have a service to record the number of your visits to the coffee and if you buy from them 7 times you get a free drink of your choice 😍😋👌

(Original)
كوفي أوفر دوز ☕️🍫🍰قمة بالرووووووعة وأجواااء جميلة💜💜💜💜💜💜🤠👌رومانسي وطعم لذيذ 😋 وسعر معقول وأيضاً عندهم خدمة تسجيل عدد زياراتك للكوفي واذا اشتريت منهم 7 مرات تحصل على مشروب مجاني من اختيارك 😍😋👌",5
"(Translated by Google) The place is beautiful, it is cold, the sessions are small, the music is very loud, the coffee is delicious

(Original)
جميل المكان بارد والجلسات صغيره ،صوت الموسيقى جداً عالي،القهوه لذيذه",4
"(Translated by Google) I recommend visiting it and trying their cold and hot drinks, as well as the saffron cake. Delicious and all their products and coffee 😴❤️❤️❤️❤️

(Original)
انصح بزيارته وتجربة مشروباتهم البارده والساخنه وايضا كيكة الزعفران. لذيذه  وجميع منتجاتهم  وقهوتهم  😴❤️❤️❤️❤️",5
"(Translated by Google) The branch is beautiful, their coffee is beautiful, and the most beautiful of that is the treatment of the cashier employee, Muhammad Al-Majrashi, the top of the splendor, taste and morals, may God make him happy and many like him ♥️

(Original)
الفرع جميل وقهوتهم جميلة والاجمل من ذلك تعامل موظف الكاشير محمد المجرشي قمة فالروعة والذوق والاخلاق الله يسعده ويكثر من امثاله ♥️",5
"(Translated by Google) ""

(Original)
بستاشيو لاتيه 👍🏻💛.",5
